[0.019s] Invoking command in '/home/jaeho/project_ws/build/doosan_m0609_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jaeho/project_ws/install/precision_liquid_pouring:/home/jaeho/project_ws/install/doosan_m0609_bringup:/home/jaeho/project_ws/install/chemistry_experiment_manager:/home/jaeho/project_ws/install/arduino_loadcell_interface:/opt/ros/humble /usr/bin/cmake /home/jaeho/project_ws/src/doosan_m0609_description -DCMAKE_INSTALL_PREFIX=/home/jaeho/project_ws/install/doosan_m0609_description
[0.204s] -- The C compiler identification is GNU 11.4.0
[0.941s] -- The CXX compiler identification is GNU 11.4.0
[1.483s] -- Detecting C compiler ABI info
[1.683s] -- Detecting C compiler ABI info - done
[1.691s] -- Check for working C compiler: /usr/bin/cc - skipped
[1.691s] -- Detecting C compile features
[1.691s] -- Detecting C compile features - done
[1.695s] -- Detecting CXX compiler ABI info
[1.905s] -- Detecting CXX compiler ABI info - done
[1.913s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[1.913s] -- Detecting CXX compile features
[1.914s] -- Detecting CXX compile features - done
[1.918s] -- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)
[2.113s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[2.297s] -- Configuring done
[2.551s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_4_0.dae
[2.556s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_6_0.dae
[2.559s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_4_1.dae
[2.571s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_1_0.dae
[2.582s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_2_1.dae
[2.608s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_3_0.dae
[2.618s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_0_0.dae
[2.636s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_5_0.dae
[2.644s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_2_2.dae
[2.656s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue
[2.657s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_3_0.dae
[2.660s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_2_2.dae
[2.663s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_1_0.dae
[2.665s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_4_1.dae
[2.669s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_0_0.dae
[2.681s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_6_0.dae
[2.684s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_2_0.dae
[2.688s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_4_0.dae
[2.690s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_5_0.dae
[2.694s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_blue/MF0609_2_1.dae
[2.722s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision
[2.722s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_2_0.dae
[2.733s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_4_0.dae
[2.738s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_6_0.dae
[2.742s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_4_1.dae
[2.752s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_1_0.dae
[2.759s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_2_1.dae
[2.791s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_3_0.dae
[2.800s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_0_0.dae
[2.818s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_5_0.dae
[2.825s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_collision/MF1013_2_2.dae
[2.832s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020
[2.833s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_4.STL
[2.833s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_1_1.STL
[2.836s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_5.STL
[2.836s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_8.STL
[2.838s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_0_1.STL
[2.847s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_7.STL
[2.850s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_6_1.STL
[2.851s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_3_3.STL
[2.855s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_3_4.STL
[2.857s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_1_2.STL
[2.860s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_1.STL
[2.863s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_5_3.STL
[2.864s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_5_1.STL
[2.867s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_6.STL
[2.868s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_5_2.STL
[2.871s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_1_4.STL
[2.872s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_3_1.STL
[2.878s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_2.STL
[2.878s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_1_5.STL
[2.881s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_3_2.STL
[2.881s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_2_3.STL
[2.884s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020/P3020_1_3.STL
[2.885s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white
[2.885s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_6_0.dae
[2.887s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_5_0.dae
[2.897s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_2_0.dae
[2.904s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_0_0.dae
[2.908s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_4_0.dae
[2.912s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_2_2.dae
[2.916s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_2_1.dae
[2.932s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_1_0.dae
[2.941s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_4_1.dae
[2.947s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_white/H2017_3_0.dae
[2.957s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision
[2.957s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/2-2.STL
[2.959s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/4-4.STL
[2.961s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-3.STL
[2.964s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/6-1.STL
[2.966s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/1.STL
[2.974s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-1.STL
[2.976s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/4-2.STL
[2.977s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/2-1.STL
[2.979s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-5.STL
[2.979s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/2-4.STL
[2.980s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/6-2.STL
[2.982s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/7.STL
[2.984s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-6.STL
[2.984s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-4.STL
[2.985s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/4-1.STL
[2.989s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-2.STL
[2.989s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/4-3.STL
[2.993s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/6-3.STL
[2.994s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-7.STL
[2.996s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/2-3.STL
[2.997s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/3-8.STL
[2.999s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/p3020_collision/2-5.STL
[3.000s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white
[3.000s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_4_0.dae
[3.004s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_2_2.dae
[3.011s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_3_1.dae
[3.015s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_1_0.dae
[3.017s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_2_0.dae
[3.024s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_5_1.dae
[3.031s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_6_0.dae
[3.036s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_3_0.dae
[3.037s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_1_2.dae
[3.039s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_5_0.dae
[3.040s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_0_0.dae
[3.047s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_2_1.dae
[3.060s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_4_1.dae
[3.066s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0509_white/A0509_1_1.dae
[3.073s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision
[3.073s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_2_2.dae
[3.074s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_3_1.dae
[3.083s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_6_1.dae
[3.087s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_4_1.dae
[3.102s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_1_3.dae
[3.107s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_5_2.dae
[3.107s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_2_1.dae
[3.123s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_0_0.dae
[3.129s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_1_4.dae
[3.130s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_4_2.dae
[3.130s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_1_2.dae
[3.140s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_1_1.dae
[3.141s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_3_2.dae
[3.141s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/e0509_collision/E0509_5_1.dae
[3.154s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white
[3.154s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_4_0.dae
[3.160s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_3_1.dae
[3.165s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_2_1.dae
[3.182s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_1_1.dae
[3.192s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_1_2.dae
[3.195s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_5_0.dae
[3.197s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_2_2.dae
[3.202s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_2_0.dae
[3.211s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_4_1.dae
[3.220s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_0_0.dae
[3.225s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_5_1.dae
[3.234s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_3_0.dae
[3.235s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_6_0.dae
[3.239s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/a0912_white/A0912_1_0.dae
[3.240s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white
[3.240s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_3_0.dae
[3.243s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_2_2.dae
[3.246s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_1_0.dae
[3.249s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_4_1.dae
[3.252s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_0_0.dae
[3.259s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_6_0.dae
[3.261s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_2_0.dae
[3.263s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_4_0.dae
[3.266s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m0609_white/MF0609_5_0.dae
